"Platform","Program or API name","API category","Official documentation","Current verification date","Supported markets","Vietnam availability","Access level","Authentication","Link generation","Product data","Voucher or campaign data","Click reporting","Conversion reporting","Order reporting","Commission reporting","Webhooks or postbacks","Polling or report export","Sub-ID support","Rate limits","Sandbox","Attribution window","Approval requirements","Integration limitations","Evidence classification","Confidence level"
"System A","Tis Cashback private web interface","Undocumented private consumer/affiliate interface","None found","2026-07-23","Observed account UI names Shopee; ShopeeFood; TikTok Shop; Lazada","Yes","Account-authorized private UI","Server-side authenticated session; CSRF token observed on password form","Client calls a same-origin JSON converter endpoint; call not executed","Converter response schema anticipates product data","No catalog API observed","Unknown","Account order table only","Account order table only","Original and member-share amounts displayed","No observable webhook/postback","Pagination and GET filters observed; ingestion mechanism unknown","Unknown","Unknown","Unknown","Unknown","Manual/admin-assisted account access observed","Endpoint is private and unsupported; no redirect or conversion call was triggered","Observed","High"
"ShopBack","ShopBack Vietnam consumer cashback platform","Consumer cashback platform; private web application","https://www.goshopback.vn/","2026-07-23","ShopBack operates multi-market; this row covers Vietnam","Yes","Consumer account; private backend","Account session; reCAPTCHA on login; OTP and verification controls observed","Same-origin redirect routes and app deep links observed; not activated","Merchant pages and offers","Merchant-specific rates; exclusions; timing rules","Not exposed in consumer UI","Cashback history UI; test account had no events","Consumer cashback history, not marketplace order API","Consumer balances and cashback states","Unknown","Missing-cashback workflow; no public export observed","Opaque content tracking parameter observed; semantics not documented","Unknown","Unknown","Merchant-specific; Shopee page said 3-day tracking and Taobao page 4-day tracking, not cookie windows","Consumer registration and verification","No public publisher API established; outbound redirect chains were intentionally not followed","Observed","High"
"Shopee","Shopee Affiliate Program Vietnam","Affiliate publisher program","https://help.shopee.vn/portal/10/article/123035","2026-07-23","Regional programs; Vietnam confirmed","Yes","Approval/account based","Affiliate portal session; public API authentication not documented","Portal conversion tool; documented redirect format; product feed for approved partners","Product Feed for approved partners","Portal programs and product commissions","Portal reporting exists; public click API not verified","Portal conversion statuses and income reporting","Portal conversions/orders; public order API not verified","Portal income/reconciliation","No public publisher webhook/postback documented","Portal and downloadable/product-feed facilities; conversion export details not publicly verified","Up to five documented sub_id segments in manual link guidance","Unknown","Unknown","Unknown for standard Shopee marketplace; ShopeeFood has a separately documented 7-day last-click rule","Affiliate registration; KOL/KOC/MCN criteria vary; some feeds/features are partner gated","No currently verified public publisher conversion API; do not substitute seller APIs","Officially documented","High"
"Shopee","Shopee Open Platform","Marketplace seller/partner API","https://open.shopee.com/developer-guide/31","2026-07-23","Regional seller markets","Yes","Partner/app registration and seller authorization; exact current tiers not verified","Official portal documents app authorization; current details are portal/JS gated","Not established as affiliate link API","Seller catalog/product functions; exact current methods not enumerated here","Seller marketing functions may exist; not affiliate campaign reporting","No affiliate click reporting established","No affiliate conversion reporting established","Seller order-management category","No affiliate commission reporting established","Seller event/webhook capabilities not independently enumerated","API polling by approved apps","No affiliate sub-ID capability established","Unknown","Unknown","Not applicable to affiliate attribution","Open Platform partner/app and seller authorization","Seller API data must not be treated as publisher conversion data","Officially documented","Medium"
"Lazada","LazAffiliates Vietnam","Affiliate publisher program","https://www.lazada.vn/blog/gioi-thieu-lazaffiliates/","2026-07-23","Vietnam confirmed; other regional programs vary","Yes","Consumer/creator enrollment; KOL track requires 10,000 followers","Portal/app session; no official public API authentication verified","In-app product-link conversion","In-app product selection","Programs; bonuses; vouchers in app/blog","Dashboard mentioned; public API not verified","Dashboard commissions after successful orders","Dashboard order-derived commissions; public API not verified","Dashboard/income workflow","No public publisher webhook/postback verified","Portal/dashboard only from official public evidence","Unknown","Unknown","Unknown","Unknown","Basic in-app partner enrollment; KOL program has follower threshold","No official public publisher API verified; Lazada Open Platform is separate","Officially documented","High"
"Lazada","Lazada Open Platform","Marketplace seller/ISV API","https://open.lazada.com/apps/doc/doc?docId=108149&nodeId=10552","2026-07-23","Indonesia; Malaysia; Philippines; Singapore; Thailand; Vietnam","Yes","Approval-based app categories and seller authorization","Signed HTTPS requests; app key/secret and access token under official process","No publisher affiliate link capability established","Seller products","Seller marketing/promotions","No affiliate click reporting","No affiliate conversion reporting","Seller orders and reverse orders","No affiliate publisher commission reporting","Seller/open-platform capabilities; exact webhook catalog not inventoried","REST API polling","No affiliate sub-ID capability","Per-API quotas; values not generalized","Production endpoints documented; sandbox not verified","Not applicable","Developer profile/documents; app-category review; seller authorization","Seller/ISV API; not a LazAffiliates conversion API","Officially documented","High"
"TikTok Shop","Affiliate APIs","Affiliate publisher/seller/creator/partner API","https://partner.tiktokshop.com/docv2/page/affiliate-integration","2026-07-23","Seller and creator affiliate APIs in supported Shop markets; APIs unavailable in UK/EU per overview","Yes","Approval-based; APIs inactive by default","OAuth seller and creator tokens; request signature; x-tts-access-token","Official product-promotion link endpoint; one product per request","Affiliate product and collaboration data by scope","Seller/creator collaboration and partner campaign scopes","Capability depends on approved affiliate scopes; endpoint inventory is partner-portal controlled","Creator orders/collaborations by approved scope","Creator affiliate order data by approved scope","Commission-related collaboration/order data by scope","Platform webhooks; signed HMAC; exact affiliate topic coverage varies","Polling is explicitly recommended alongside webhooks","Tracking parameters available through generated promotion links; exact arbitrary sub-ID support not confirmed","Dynamic QPS by app and authorized shop; 429/503 backoff","Development shops and test creators","Unknown for affiliate; Shop Ads has separate documented windows","Affiliate API application and manager approval; seller and creator authorizations are separate","No programmatic creator onboarding; regional/API scope restrictions; seller API data is distinct","Officially documented","High"
"TikTok Shop","TikTok Shop Open Platform seller APIs","Marketplace seller/partner API","https://partner.tiktokshop.com/docv2/page/tts-api-concepts-overview","2026-07-23","Supported TikTok Shop markets including Vietnam","Yes","Approval and OAuth scopes","OAuth access token plus request signature","Not an affiliate link API unless Affiliate scopes are separately approved","Catalog","Seller promotions by scope","No affiliate click reporting by default","No creator-affiliate conversion reporting by default","Orders; returns; fulfillment; payments","No publisher commission reporting by default","Signed webhooks for orders/products/returns and other topics","REST polling and batching","Not an affiliate sub-ID API","Dynamic per app/shop","Development shops and API testing","Not applicable","Developer onboarding; company documents or active seller; scope review","Open Platform APIs require correct app type and scopes","Officially documented","High"
"Taobao/Tmall","Taobao Alliance / Alimama TBK APIs","Affiliate publisher API","https://developer.alibaba.com/docs/api.htm?apiId=74168","2026-07-23","Mainland China ecosystem; external availability not clearly documented","Constrained/Unknown","Media and app approval; advanced packages invitation-only","app_key; HMAC/MD5 signature; session when authorization is required","General link conversion; activity link conversion; short/promotion links by permission","Product search and details","Coupon; activity; promotion material APIs","Click API not clearly verified in the public catalog reviewed","Order-detail APIs","Order-detail and refund/after-sale APIs","Order and affiliate report APIs","No general public webhook established","Order/refund/report polling and batch queries","Adzone/relation/custom tracking capabilities vary by permission; exact Vietnam-safe mapping requires approval docs","Per-method permissions/quotas; no global number","Official legacy guidance says most APIs have sandbox; method coverage varies","Unknown","Real-name verified Alipay; registered media; app key; package permission review","Mainland identity/business and media approval are material constraints; docs partly legacy; Tmall uses the same ecosystem","Officially documented","High"
"Taobao/Tmall","Taobao Open Platform non-affiliate APIs","Marketplace seller/open-platform API","https://developer.alibaba.com/","2026-07-23","Primarily mainland China","Constrained/Unknown","Application and method-permission based","Signed TOP requests; session for authorized APIs","Not an affiliate link API","Seller/marketplace data by permission","Marketplace promotions by permission","No affiliate click reporting by default","No affiliate conversion reporting by default","Seller orders by permission","No publisher commission reporting","Method-specific","API polling","Not affiliate sub-ID","Per method/app","Method-specific sandbox","Not applicable","Developer app and relevant merchant authorization","Do not infer Taobao Alliance data from seller API access","Officially documented","High"
